date,equity_proxy,exposure_pct_proxy,n_positions_proxy,equity_percentile,exposure_pct_percentile,n_positions_percentile,benchmark_close
2016-09-26,100000000.0,0.0,0,100000000.0,0.0,0,2047.1099853515625
2016-09-27,100412998.0,10.64055472181002,1,100412998.0,10.64055472181002,1,2062.820068359375
2016-09-28,98877001.04504688,43.427290005109334,4,98877001.04504688,43.427290005109334,4,2053.06005859375
2016-09-29,98740132.42296094,64.8994498885412,6,98740132.42296094,64.8994498885412,6,2068.719970703125
2016-09-30,98019395.23840235,87.0272328417695,8,98019395.23840235,87.0272328417695,8,2043.6300048828125
2016-10-04,99382264.01183985,87.2051335913733,8,99382264.01183985,87.2051335913733,8,2054.860107421875
2016-10-05,97885327.21013586,87.91518075519946,8,97885327.21013586,87.91518075519946,8,2053.0
2016-10-06,97625799.72576086,98.45669806059584,9,97625799.72576086,98.45669806059584,9,2065.300048828125
2016-10-07,95977543.91235462,89.55988627123365,9,95977543.91235462,89.55988627123365,9,2053.800048828125
2016-10-10,95794334.75532946,89.36687727596775,9,95794334.75532946,89.36687727596775,9,2056.820068359375
2016-10-11,95923045.32618883,87.93363307238077,8,95923045.32618883,87.93363307238077,8,2031.9300537109375
2016-10-12,94553711.98314196,77.64643560374147,7,94553711.98314196,77.64643560374147,7,2033.72998046875
2016-10-13,93660499.3911134,66.95345236403884,6,93660499.3911134,66.95345236403884,6,2015.43994140625
2016-10-14,94166355.5942384,67.13097650212431,6,94166355.5942384,67.13097650212431,6,2022.6600341796875
2016-10-17,94566055.4692384,67.26990314465246,6,94566055.4692384,67.26990314465246,6,2027.6099853515625
2016-10-18,95818255.8911134,67.69763625990402,6,95818255.8911134,67.69763625990402,6,2040.4300537109375
2016-10-19,95043402.0942384,67.43428700429516,6,95043402.0942384,67.43428700429516,6,2040.93994140625
2016-10-20,95052732.6411134,67.43748371314489,6,95052732.6411134,67.43748371314489,6,2040.5999755859375
2016-10-21,95152489.2661134,67.47162182925028,6,95152489.2661134,67.47162182925028,6,2033.0
2016-10-24,95495649.8129884,67.58851151023461,6,95495649.8129884,67.58851151023461,6,2047.739990234375
2016-10-25,95551939.4129884,88.91102450410011,8,95551939.4129884,88.91102450410011,8,2037.1700439453125
2016-10-26,95105778.4442384,88.85900381586615,8,95105778.4442384,88.85900381586615,8,2013.8900146484375
