symbol,signal_date,entry_date,entry_price,exit_signal_date,close,rs_pct,vol_x,breakout_pct,from_high52,contraction,dry_up,regime_on,ext50_pct,ma50_over_ma200_pct,above_lo52_pct,atr20_pct,trading_value50,ret20_pct,b_dist200_pct,b_dist20_pct,entry_gap_pct,exit_date,exit_price,exit_type,bars_held,pnl_pct,net_pnl_pct,mfe_pct,mae_pct,n_same_day,breadth_tt_pct,b_ret20_pct,b_ret60_pct
003230.KS,2016-09-26,2016-09-27,40200.0,,42000.0,98.69281045751634,6.3582894276885895,5.395232120451698,0.0,2.2084507042253523,3.039348325369896,True,50.90543259557343,9.987255357195778,91.78082191780821,4.5059523809523805,2226683682.0,59.09090909090908,3.59800186071193,0.42857621342866636,-4.285714285714281,2016-09-28,37386.0,STOP,1,-6.999999999999995,-7.371257485029936,8.582089552238802,-7.587064676616917,1,16.233766233766232,0.16391234702748392,5.727139253848756
000660.KS,2016-09-27,2016-09-28,41300.0,2016-11-09,41150.0,89.54248366013073,1.4138044449617022,3.3919597989949812,0.0,1.1091142490372272,1.1342685291281087,True,15.758973781928653,15.678490074845431,59.80582524271845,2.3511543134872417,101116889685.0,15.266106442577021,4.382769502822881,1.14991783727465,0.36452004860267895,2016-11-10,41000.0,EXIT_MA,30,-0.7263922518159771,-1.1226940791540407,5.56900726392251,-6.295399515738498,4,18.181818181818183,0.9740970557533979,5.441743023587753
005070.KS,2016-09-27,2016-09-28,5161.263672,,5063.545898,100.0,4.028502069671903,10.894941999905395,0.0,1.2938736203985801,0.6638204420308379,True,20.380148001329967,45.46404076727819,180.09828966194084,4.697368655114736,1587526998.290166,16.207952228780776,4.382769502822881,1.14991783727465,1.9298289374368283,2016-10-10,4799.97521496,STOP,7,-7.000000000000006,-7.371257485029947,13.59724276066785,-7.056803103780673,4,18.181818181818183,0.9740970557533979,5.441743023587753
018880.KS,2016-09-27,2016-09-28,13350.0,,13350.0,95.42483660130719,2.004099427363076,1.520912547528508,0.0,0.9794050343249427,0.9512733663453309,True,16.76725268958279,8.406660092543428,84.39226519337018,4.213483146067416,12569056275.0,19.19642857142858,4.382769502822881,1.14991783727465,0.0,2016-09-30,12415.5,STOP,2,-6.999999999999995,-7.371257485029947,0.0,-7.86516853932584,4,18.181818181818183,0.9740970557533979,5.441743023587753
103140.KS,2016-09-27,2016-09-28,33850.0,2017-02-06,33850.0,81.69934640522875,1.7646044414174111,2.26586102719033,0.0,0.8731241473396999,0.7889551407775839,True,5.7515073885469725,9.3446291014057,48.46491228070175,2.3707533234859675,4002432509.0,4.475308641975317,4.382769502822881,1.14991783727465,0.0,2017-02-07,40200.0,EXIT_MA,90,18.759231905465292,18.285143155343686,33.67799113737075,-2.6587887740029514,4,18.181818181818183,0.9740970557533979,5.441743023587753
003490.KS,2016-09-28,2016-09-29,22817.99609,,22946.72852,87.58169934640523,1.7076857929023477,0.5641706199450924,0.0,1.016424713162023,0.8198161864904479,True,17.200339607803716,7.454672068962642,53.663784670420746,4.43197793364577,21236093189.915386,22.08904243030796,3.8773901323813975,0.6329473283393172,-0.5610055912231626,2016-10-05,21220.736363699998,STOP,3,-7.000000000000006,-7.371257485029958,0.9873049724060889,-7.6163670689804235,2,19.480519480519483,0.7636838773006138,4.197735631103949
093370.KS,2016-09-28,2016-09-29,7500.0,,7410.0,97.38562091503267,2.31926054691461,1.3679890560875485,-5.363984674329503,1.059625212947189,1.1331891292503917,True,3.3934252386002006,26.545891160786827,120.53571428571428,4.176788124156546,9150302561.0,4.073033707865159,3.8773901323813975,0.6329473283393172,1.2145748987854255,2016-11-10,6974.999999999999,STOP,29,-7.000000000000018,-7.371257485029947,11.06666666666667,-8.666666666666668,2,19.480519480519483,0.7636838773006138,4.197735631103949
003230.KS,2016-09-29,2016-09-30,46700.0,,45750.0,98.69281045751634,14.194372932842297,4.810996563573888,0.0,2.6006968641114985,3.7187771715954043,True,58.970082351714794,12.479480966153368,108.90410958904111,6.0109289617486334,3787495483.0,70.7089552238806,4.64996161063449,1.310231155389907,2.076502732240426,2016-10-07,43431.0,STOP,4,-6.999999999999995,-7.371257485029947,9.207708779443259,-8.886509635974305,3,20.77922077922078,1.7895537397344397,4.095969809181388
036460.KS,2016-09-29,2016-09-30,44450.0,2016-11-11,44750.0,74.50980392156863,3.413184217033219,0.33632286995515237,-0.5555555555555536,1.050887573964497,1.1211040863452644,True,4.84759026264614,7.762614722330929,42.289348171701114,2.430167597765363,8771000026.0,6.168446026097274,4.64996161063449,1.310231155389907,-0.6703910614525133,2016-11-14,43600.0,EXIT_MA,30,-1.9122609673790758,-2.303828787868578,6.636670416197976,-3.5995500562429728,3,20.77922077922078,1.7895537397344397,4.095969809181388
066970.KS,2016-09-29,2016-09-30,17365.16211,,17365.16211,100.0,1.4891350317828065,0.8021348017562824,0.0,1.0825686034068418,0.7526585589488183,True,21.68355487484872,45.5367081176588,170.83332161981707,4.549071347540677,2775037609.48775,17.445482106491262,4.64996161063449,1.310231155389907,0.0,2016-10-13,16149.6007623,STOP,8,-7.000000000000006,-7.371257485029936,1.5915148862379214,-7.957557558326767,3,20.77922077922078,1.7895537397344397,4.095969809181388
