date,equity_proxy,exposure_pct_proxy,n_positions_proxy,equity_percentile,exposure_pct_percentile,n_positions_percentile,benchmark_close
2016-09-26,100000000.0,0.0,0,100000000.0,0.0,0,4817.169921875
2016-09-27,100000000.0,0.0,0,100000000.0,0.0,0,4866.7099609375
2016-09-28,100098849.50315093,21.552307056235424,2,100098849.50315093,21.552307056235424,2,4875.27001953125
2016-09-29,99938121.47305995,21.426141555361646,2,99938121.47305995,21.426141555361646,2,4838.2998046875
2016-09-30,100348114.81913176,43.67968283390742,4,100112995.86933509,32.431297341985896,3,4875.7001953125
2016-10-03,99959292.3928183,64.93078662671496,6,99596385.96181881,64.47275389278487,6,4866.6298828125
2016-10-04,99865005.59830952,64.89767629246825,6,99499248.95666385,64.43807011050062,6,4859.47021484375
2016-10-05,100134915.5227234,64.99229329483141,6,99773368.40213475,64.53577370272467,6,4877.75
2016-10-06,100435274.39201647,76.09887625291734,7,100067056.85005835,75.64236229855187,7,4873.919921875
2016-10-07,100507505.41119997,86.81296568182569,8,100136037.90007454,75.659141626552,7,4864.52001953125
2016-10-10,100805459.3372811,97.56984852834532,9,100509727.91236085,86.45935161179955,8,4893.77001953125
2016-10-11,98979860.38341552,100.0,10,98748915.15702838,97.17517011569028,9,4821.91015625
2016-10-12,98744560.34053735,100.0,10,98575922.29290557,97.17021276504137,9,4819.64013671875
2016-10-13,98498620.51683202,100.0,10,97930982.05506563,97.1515767459384,9,4803.10009765625
2016-10-14,98421366.87588654,89.4317921942147,9,97689243.15170716,86.53646973878301,8,4808.47998046875
2016-10-17,97912848.52451116,89.37690534645799,9,97157315.24656568,86.4627580740516,8,4796.169921875
2016-10-18,98683849.4412292,89.45990186273335,9,97858719.55216707,86.55978652298575,8,4839.72021484375
2016-10-19,98105723.29866791,89.39779023383515,9,97544757.98854643,86.51652729998234,8,4836.60986328125
2016-10-20,98086392.7371094,79.1028410578671,8,97682691.7660231,76.22438510579973,7,4832.7099609375
