date,equity_proxy,exposure_pct_proxy,n_positions_proxy,equity_percentile,exposure_pct_percentile,n_positions_percentile,benchmark_close
2016-09-25,100000000.0,0.0,0,100000000.0,0.0,0,600.8259888
2016-09-26,100000000.0,0.0,0,100000000.0,0.0,0,608.0430298
2016-09-27,100000000.0,0.0,0,100000000.0,0.0,0,606.1660156
2016-09-28,100000000.0,0.0,0,100000000.0,0.0,0,604.7280273
2016-09-29,100000000.0,0.0,0,100000000.0,0.0,0,605.6929932
2016-09-30,100000000.0,0.0,0,100000000.0,0.0,0,609.7349854
2016-10-01,100000000.0,0.0,0,100000000.0,0.0,0,613.9829712
2016-10-02,100000000.0,0.0,0,100000000.0,0.0,0,610.8920288
2016-10-03,100000000.0,0.0,0,100000000.0,0.0,0,612.1329956
2016-10-04,100000000.0,0.0,0,100000000.0,0.0,0,610.2039795
2016-10-05,100000000.0,0.0,0,100000000.0,0.0,0,612.5109863
2016-10-06,100000000.0,0.0,0,100000000.0,0.0,0,613.0209961
2016-10-07,100000000.0,0.0,0,100000000.0,0.0,0,617.1209717
2016-10-08,100000000.0,0.0,0,100000000.0,0.0,0,619.1079712
2016-10-09,100000000.0,0.0,0,100000000.0,0.0,0,616.7520142
2016-10-10,100000000.0,0.0,0,100000000.0,0.0,0,618.9940186
2016-10-11,100000000.0,0.0,0,100000000.0,0.0,0,641.0720215
2016-10-12,100000000.0,0.0,0,100000000.0,0.0,0,636.1920166
2016-10-13,100000000.0,0.0,0,100000000.0,0.0,0,636.7860107
2016-10-14,100000000.0,0.0,0,100000000.0,0.0,0,640.3779907
2016-10-15,100000000.0,0.0,0,100000000.0,0.0,0,638.6459961
2016-10-16,100000000.0,0.0,0,100000000.0,0.0,0,641.6309814
2016-10-17,100000000.0,0.0,0,100000000.0,0.0,0,639.1929932
2016-10-18,100000000.0,0.0,0,100000000.0,0.0,0,637.960022
2016-10-19,100000000.0,0.0,0,100000000.0,0.0,0,630.5200195
2016-10-20,100000000.0,0.0,0,100000000.0,0.0,0,630.8569946
2016-10-21,100000000.0,0.0,0,100000000.0,0.0,0,632.8280029
2016-10-22,100000000.0,0.0,0,100000000.0,0.0,0,657.2940063
2016-10-23,100000000.0,0.0,0,100000000.0,0.0,0,657.0709839
2016-10-24,100000000.0,0.0,0,100000000.0,0.0,0,653.7609863
2016-10-25,100000000.0,0.0,0,100000000.0,0.0,0,657.5880127
2016-10-26,100000000.0,0.0,0,100000000.0,0.0,0,678.3040161
2016-10-27,100000000.0,0.0,0,100000000.0,0.0,0,688.3129883
2016-10-28,100000000.0,0.0,0,100000000.0,0.0,0,689.651001
2016-10-29,100000000.0,0.0,0,100000000.0,0.0,0,714.4790039
2016-10-30,100000000.0,0.0,0,100000000.0,0.0,0,701.8640137
2016-10-31,100000000.0,0.0,0,100000000.0,0.0,0,700.9719849
2016-11-01,100000000.0,0.0,0,100000000.0,0.0,0,729.7930298
2016-11-02,100095604.52240017,7.6061433833791074,1,100095604.52240017,7.6061433833791074,1,740.8289795
